repo_url,fix_commit,framework
https://github.com/MaxZell/Daily-ToDo,92451beae5209c3e16a171fd5db699626556ed0e,clientside_javascript
https://github.com/MaxiBal/Step-Counter,3d83278bbf5f97cfb970f21b8b6b611818bbabc5,express
https://github.com/MeowKawaii/ywc,487057a2fa7e8b3ed0b4e16a4eb2100cb68d4903,react
https://github.com/NG-ZORRO/ng-zorro-antd,a393b89bf82eece5b0586592d709629865b27b3a,angular
https://github.com/NarutoVPS/Envoy,3c2e890b99a80f8bd2b0bb20594871b93edbb8a6,express
https://github.com/NoMoreDeps/marksjs,257bd7c936b44a79f2782339a2bfa4297deddc1f,n/a
https://github.com/OAC-TW/OAC-SPA,594996adf4f3898b9b8d723e1095bb7fac62a985,vue
https://github.com/OWASP/Nettacker,4dea094892cccffb27f2f067c7042be20856d0a3,flask
https://github.com/OWASP/SecurityShepherd,b42460491a5c3fe115b4813e30bcd1755a8f39b1,java_and_jsp
https://github.com/PlayBoyFly/apollo,b5832dadb844cadcc1f3c36b9bcfa6b83f79c62d,clientside_javascript
https://github.com/SFDO-Tooling/Metecho,416796be8395be6bb878cb990cf9d365c17c6d76,django
https://github.com/SL-Lee/infosecurity-project-client,df44239e9a7ba702c455d48d16df913e13fbb190,flask
https://github.com/SabrinaMarkon/react-next-airbnb-clone,f7730ed59e2d7e55e40b9359833dd3dc2fd80ffa,express
https://github.com/ScratchAddons/ScratchAddons,b9a52d6532c8514254c7cc1d8e18710dbedc41ff,clientside_javascript
https://github.com/SeanStaffiery/seanstaffiery.github.io,f6f5a7bb4e3104eed48890ac83d44ff5e5866dcf,clientside_javascript
https://github.com/Shopify/quilt,dec36405a80ebc686138c3504c372fb9578b2b93,clientside_typescript
https://github.com/Siilwyn/cheers-receiver,35edc0ecd1d85141ae5c1006cd0f47f48457ac59,javascript
https://github.com/SithCult/Holobook,45fc74bfe40a3d8191265e4cfcad0f386b900a57,react
https://github.com/SneakyMini/m_short,d1e4ae9c7db65de58a50c00fe0fba744111728a4,clientside_javascript
https://github.com/SnickersVsMars/webapp-ws20-projects,d25e6a55e5a583c377193abd4d841f40bbadec93,clientside_javascript
https://github.com/Sonikboy/estudo_poker,298a4f8e58c070cd1d702f9e84a3ece5d145d15e,express
https://github.com/Steellow/solita-dev-academy-2021,b233fce2ebf42d447654923de7b128a7b7c675a8,clientside_javascript
https://github.com/Steellow/solita-dev-academy-2021,f349a9586f017d8a9858857ff2e6342d1a74b577,clientside_javascript
https://github.com/StyleShit/Elementor-Assignment,05986d6f16c254831d466c03f345ed36a8710012,clientside_javascript
https://github.com/TKais/Hogwash,fd1ed9361fbd836febea5debb7d1c5c8f3999c77,clientside_javascript
https://github.com/Taink/projet-web-s3,4c66d58711b4183d0b0c58e7b5fbb22786f672b3,express
https://github.com/ThewBear/do-forem,ab95635dc6ffab6fa6218de1ff1759927f78356e,express
https://github.com/Tim-28-Xml/rent-a-car,e96ac726ba7703a86e911ec0bc904790953eb7a9,java_and_jsp
https://github.com/Timmy-1994/106062-OacMap,0946ecec9e3b86a4bfacb59bbc5212129df85fb5,clientside_typescript
https://github.com/UWB-ACM/crowfacts,5cfbdbfb48aad2d284cfcfc022e759f3a73c7534,javascript
https://github.com/Ugo-Z/Project_Zzz,513124267729cf13504350739782d242209f3670,java_and_jsp
https://github.com/UltimatePro-Grammer/websystem,715660fcfadea276944e47da8a85ae91f540f5b1,javascript
https://github.com/VeriBlock/vbk-ri-btc-explorer,03e5fe6e6185cbb7b8c48d3d173a1ff53184a580,express
https://github.com/VeriBlock/vbk-ri-btc-explorer,551c183700eb8f75f6d367f8466fb764088c5ac8,express
https://github.com/VeriBlock/vbk-ri-btc-explorer,be2f05ff31193863ace1f4ef40ddc4ff339de1f9,express
https://github.com/WangHL0927/grafana,05d831df29be6d1b8f1d248ef408ee231fd15cf6,clientside_typescript
https://github.com/Zayden16/m133-canban-board,7c7b2efc32d26cce4b0c332540e0024b5f308a96,clientside_javascript
https://github.com/ZenMnky/blogful-zenmnky,2eaa8ed5c460241f3df1d9c95113fffc1e631c01,express
https://github.com/ZenMnky/blogful-zenmnky,a31caa63bf81524f9a3d86f2865ebea8b4f5d411,express
https://github.com/adlister-arredondo-davis-singleterry/java-adlister,caa6a99f860303ba2180fd522d473493dc7bfffe,java_and_jsp
https://github.com/adobe/helix-redirect,6f9704648afb89a5fe84337b490b3b3ef26caedd,javascript
https://github.com/aimeos/ai-admin-jqadm,4d1064d050c40c52ea9fd267f6187860f4ceea0d,clientside_javascript
https://github.com/alannabouloy/petful-server,8d082a5e430e622ad1a21fa7a3047f7281d75be5,express
https://github.com/alleyinteractive/irving,3731639aefbe8e766b09b3d00fe030148e5dbc02,react
https://github.com/alleyinteractive/irving,d47e5c7d80f6f2be2683176c40bf0b44f95fbebe,react
https://github.com/allinurl/goaccess,17a879f63a9ef08ae7ff092af3071f26f6088ed5,javascript
https://github.com/allinurl/goaccess,17a879f63a9ef08ae7ff092af3071f26f6088ed5,dupe
https://github.com/alphagov/collections,a8fb322737525b9468c89cea84bf53d8e85b1ad4,rails
https://github.com/alphagov/collections,a8fb322737525b9468c89cea84bf53d8e85b1ad4,dupe
https://github.com/alphaparticlecode/wp-scratchpad,701d2c06eb4562f57c3a811e427c31569b1fceb0,react
https://github.com/alshapton/kb-api,0c1ff2b664eb501f07cb3a4e6762be5fd6571a44,flask
https://github.com/alshapton/kb-api,1f514dead0f74ea3f85cbdccd49d67cdf7e258f8,flask
https://github.com/alshapton/kb-api,8dafd71134ff205b902f794b87b4b162d5292712,flask
https://github.com/alshapton/kb-api,bd649de1da9e4020f9273fff183a74edfadc0b07,flask
https://github.com/amdonov/lite-idp,57e41587d32a715597ae80576939fd44beaad802,clientside_javascript
